"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219382_at",-23.5217441860464,1074.72668604651,-0.28470195777928,0.776563839640402,0.905977593649585,-4.60325684281992
"206251_s_at",16.0067813953488,536.643204651163,0.284525931674848,0.776698256503008,0.906016206004701,-4.60325773104328
"205053_at",-26.472953488372,977.734639534884,-0.284520783715791,0.776702187684345,0.906016206004701,-4.60325775701153
"211851_x_at",11.3994511627907,217.118651162791,0.28442086871174,0.776778487811873,0.906016206004701,-4.6032582609276
"220717_at",-21.8377441860465,841.580825581395,-0.284406682855998,0.776789321023231,0.906016206004701,-4.60325833245892
"203392_s_at",64.526465116279,1810.00927906977,0.284385272548095,0.776805671364139,0.906016206004701,-4.60325844041239
"207028_at",-3.7116604651163,110.762681395349,-0.284339150485986,0.776840893592686,0.906016206004701,-4.6032586729381
"217724_at",-87.3327674418601,3567.53056976744,-0.284173583291205,0.776967336832366,0.906116248842603,-4.60325950734041
"207392_x_at",-4.96742325581397,150.390086046512,-0.284055467380273,0.777057545324378,0.906143435819715,-4.60326010230847
"216838_at",-14.4406976744187,540.42923255814,-0.284011111685704,0.777091421824365,0.906143435819715,-4.6032603256713
"202136_at",-54.8511627906983,2504.47139534884,-0.283983324310896,0.777112644550319,0.906143435819715,-4.60326046558302
"220198_s_at",-20.3196976744186,722.868569767442,-0.283565189865076,0.777432016945726,0.906468402155911,-4.6032625692777
"204725_s_at",-20.3801395348835,793.389395348837,-0.283434118170041,0.777532137798299,0.906520340135399,-4.60326322808255
"206569_at",11.4674,292.418953488372,0.283381914008821,0.777572015686218,0.906520340135399,-4.6032634903915
"207433_at",14.0632744186046,288.265106976744,0.283332648825167,0.777609649085103,0.906520340135399,-4.6032637378889
"200919_at",28.8711395348835,999.74461627907,0.283243344379543,0.777677869606372,0.906520340135399,-4.60326418642542
"201040_at",-24.1493720930233,785.748290697674,-0.28324059191629,0.777679972267122,0.906520340135399,-4.60326420024758
"202644_s_at",-36.9645348837214,1753.23824418605,-0.283037728335778,0.77783494830187,0.906653562431897,-4.60326521860781
"208078_s_at",41.3183255813949,1515.04746511628,0.282976049114415,0.777882069440707,0.906661060432434,-4.60326552808886
"221048_x_at",-3.61233488372093,101.31936744186,-0.282885037592118,0.777951601126271,0.906694676912846,-4.60326598462463
"212127_at",-4.34950465116287,153.560698837209,-0.282765211920718,0.778043149227387,0.906722517187135,-4.603266585476
"216758_at",-13.4827441860465,391.065651162791,-0.282722175714792,0.77807603011671,0.906722517187135,-4.60326680121396
