"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3762125","SAMD14",0.0923999999999996,6.9174,1.9249896516311,0.0598155216658218,0.115630410548968,-5.18054057845097
"2844987","OR2V2",-0.2148,4.7446,-1.92489472991517,0.059827689509686,0.1156422135056,-5.18071271008161
"3756819","KRTAP4-2",0.2108,2.8834,1.9247775420541,0.0598427145259488,0.115659536200304,-5.18092520917009
"3186491","PAPPA",-0.1172,6.1614,-1.92466446859206,0.0598572150766208,0.115675841839897,-5.18113023694822
"3413643","DRC2",0.113199999999999,5.2294,1.92447300977691,0.0598817746126008,0.115711581494122,-5.18147737139993
"3599709","GLCE",0.2692,8.6614,1.92402336868809,0.0599394865235451,0.115811368877053,-5.18229249953002
"3726691","ABCC3",0.252799999999998,7.8316,1.92386005930953,0.059960459208462,0.115830902880038,-5.18258851287198
"2500275","BCL2L11",0.254,7.9226,1.92385008207488,0.0599617407181996,0.115830902880038,-5.18260659682864
"3228813","SARDH",0.118000000000001,6.8774,1.92377405214853,0.0599715070269618,0.115838038481807,-5.18274440007806
"2903075","PPT2",-0.149599999999998,7.8704,-1.92352823016106,0.0600030930116294,0.115887314193565,-5.18318991703948
"3992467","ADGRG4",-0.0771999999999986,4.095,-1.92338643728432,0.0600213186194508,0.115910778901057,-5.18344687385719
"3678516","NAGPA",0.115600000000002,7.139,1.92290121409843,0.0600837234358406,0.116002073561948,-5.1843260707451
"3091848","HMBOX1",-0.184000000000001,8.6924,-1.92287702172324,0.060086836279388,0.116002073561948,-5.18436990094277
"3633794","ETFA",-0.2704,8.3236,-1.92262541016258,0.0601192194120512,0.116052846539596,-5.18482572643763
"2573570","TFCP2L1",-0.638400000000001,8.2156,-1.92236117157565,0.0601532437163911,0.116102293380319,-5.18530437189393
"2440354","CD48",0.342799999999999,7.7866,1.92233195219447,0.0601570071173763,0.116102293380319,-5.18535729679898
"2798952","NKD2",0.099199999999998,7.158,1.92172539884403,0.0602351754414785,0.116241396734612,-5.18645578663952
"2952927","KCNK16",-0.0996000000000006,6.6074,-1.92125547789146,0.0602957951299573,0.116346610145566,-5.18730662445444
"2738466","AIMP1",0.145199999999997,8.521,1.92083010056479,0.0603507135919961,0.116429026343135,-5.18807665668021
"2950277","HLA-DMA",0.367599999999999,10.0182,1.92025030398996,0.0604256371375399,0.116538211913427,-5.18912598655708
"3400586","WNT5B",-0.0739999999999981,6.727,-1.92008949405694,0.0604464316714286,0.116559151556209,-5.18941697578506
"3770305","CD300C",0.123200000000002,7.6144,1.92007183971954,0.0604487149478703,0.116559151556209,-5.18944892042713
"3748126","ATPAF2",0.108799999999998,7.9016,1.91828295404046,0.0606804575515312,0.116982355558667,-5.19268450392764
"2440258","SLAMF6",0.466399999999999,6.5512,1.91766758209627,0.060760351411845,0.117124541585727,-5.1937969335897
"3588658","CDIN1",0.246399999999998,7.9452,1.91753461879865,0.0607776258469287,0.117146002895424,-5.19403725552491
"3852581","ADGRL1",0.1696,7.1708,1.91723964758547,0.0608159631161929,0.117200095792437,-5.19457034410887
"2687255","CBLB",-0.176399999999999,8.9818,-1.91720063794415,0.0608210347248973,0.117200095792437,-5.19464083922174
"3804358","TPGS2",0.198399999999999,9.916,1.91717689387667,0.0608241218465677,0.117200095792437,-5.19468374699998
"4013118","MAGEE2",-0.1576,4.978,-1.91710064973817,0.0608340357498933,0.117202555417015,-5.19482152427212
"3456260","ATF7",-0.163200000000002,9.0016,-1.91707257743479,0.0608376862937345,0.117202555417015,-5.19487225124605
"3168255","HRCT1",-0.327599999999999,6.0898,-1.91653104886302,0.0609081436613928,0.117326441329368,-5.19585067391817
"2796790","CFAP97",-0.133999999999997,9.297,-1.91567934483502,0.0610190982372009,0.11752830351099,-5.19738903174178
"3063532","OR2AE1",-0.184400000000001,6.3362,-1.91557184380332,0.0610331150308731,0.11754343284492,-5.19758315935052
"3707431","KIF1C",-0.200799999999998,7.7484,-1.91527663780028,0.0610716203357073,0.117600364418038,-5.19811620007078
"3895152","PCED1A",0.118,8.2674,1.91525069042429,0.0610750057815841,0.117600364418038,-5.19816304873008
"3064574","CLDN15",-0.0955999999999975,7.8006,-1.91401950644947,0.0612358267609315,0.117898125887316,-5.20038535244049
"2430126","TRIM45",0.2012,6.9218,1.91379430780206,0.0612652819181977,0.117941413071162,-5.20079170535026
"2404521","PEF1",0.1996,8.7098,1.91351571871279,0.0613017370638346,0.11798929837854,-5.20129433981538
"2527196","RPL37A",0.248800000000002,7.366,1.91324466252096,0.0613372242311397,0.118033782854153,-5.20178332257638
"3429008","ASCL1",0.61,5.8342,1.91305839342493,0.0613616210701831,0.118068820207264,-5.20211931550033
"2506570","GPR39",0.230800000000001,6.9914,1.91294527813937,0.0613764405298291,0.118085424059205,-5.20232333948663
"3476457","NCOR2",0.129200000000001,8.6598,1.9128612326102,0.0613874534781991,0.11809470174971,-5.20247492412458
"2326018","LDLRAP1",0.133199999999999,7.9838,1.91265977060719,0.061413859012449,0.118133586217755,-5.20283825783024
"3394315","C1QTNF5",0.166399999999996,8.2412,1.91236561349829,0.0614524314420905,0.118195864306243,-5.20336870632049
"2950561","WDR46",0.112800000000001,7.3424,1.91215109035431,0.061480574596292,0.118226153326499,-5.2037555077407
"3537884","ARID4A",-0.219600000000001,6.8586,-1.91189264721078,0.0615144941768964,0.118279456800572,-5.20422145038411
"2708855","LIPH",0.489599999999998,7.1032,1.91151458482359,0.0615641420157568,0.118362988620498,-5.20490295433336
"3340449","SLCO2B1",0.338400000000002,8.388,1.91125372051839,0.0615984190994111,0.118416954826198,-5.20537312634314
"3182063","INVS",-0.175199999999999,7.1424,-1.91113729341754,0.061613722652548,0.118434439068924,-5.20558295225162
"3204680","SIT1",0.1808,6.228,1.91061406309195,0.0616825377415093,0.118542825907418,-5.20652578585141
"3462930","BBS10",-0.173199999999999,6.8778,-1.9102432956766,0.0617313405987736,0.11862466538352,-5.20719375405918
"3654669","SULT1A2",0.2712,7.3268,1.90991862072811,0.0617741034803264,0.118682928592074,-5.20777859074688
"2700244","CP",-0.838799999999999,7.137,-1.90969303148701,0.0618038306610326,0.118728083956682,-5.20818489379054
"2716246","LINC00955",-0.0888000000000009,6.0932,-1.90934395663404,0.0618498542696352,0.118804533284419,-5.20881352177241
"2946845","ZNF184",0.194800000000003,7.0302,1.90919521408431,0.0618694740316322,0.118830254392611,-5.20908135309903
"3825244","TMEM59L",-0.0820000000000007,6.9274,-1.90907060752733,0.0618859142374013,0.118849864088661,-5.20930571036583
"3376714","MACROD1",0.0947999999999993,7.3722,1.90878444532435,0.0619236836880417,0.118910427826966,-5.20982090469929
"3145953","RPL30",0.249200000000002,11.4546,1.90795614127622,0.0620331190733816,0.119084610993643,-5.21131177152287
"2763278","ADGRA3",-0.3212,7.4918,-1.90765888600453,0.0620724325409542,0.119148090476076,-5.21184666556345
"3821015","LDLR",0.2944,9.3708,1.90688068577408,0.0621754538649963,0.119333832169098,-5.21324665116916
"3119656","GSDMD",0.0744000000000016,7.31,1.90645633988917,0.0622316918419358,0.119429753880962,-5.21400984291372
"3365249","SAAL1",0.208,6.6588,1.9063955350216,0.062239753775257,0.119433210242109,-5.21411918923492
"3096271","SMIM19",-0.1888,8.0064,-1.90616300396304,0.0622705925703616,0.119480368524665,-5.214537325532
"3435515","CCDC62",0.0892000000000008,4.6022,1.9060415822351,0.0622867009660357,0.119499256525002,-5.21475564798296
"3842301","ZNF581",0.1152,6.854,1.90515896891932,0.0624038994228134,0.11971206610917,-5.21634226975824
"3015553","MEPCE",0.124400000000001,7.8894,1.90478076770418,0.0624541765940212,0.119779872605057,-5.21702194495762
"2648535","ARHGEF26",0.354400000000002,7.0212,1.90474795933858,0.0624585396856584,0.119779872605057,-5.21708090021295
"3444329","TAS2R10",-0.263199999999999,6.7476,-1.90473653569814,0.0624600589441714,0.119779872605057,-5.21710142780871
"3838238","LIN7B",0.136400000000002,6.6306,1.90470418010797,0.0624643621658159,0.119779872605057,-5.21715956828232
"3496916","GPR180",0.301600000000001,7.7072,1.90363167440505,0.0626071459847592,0.120032415596058,-5.2190862933328
"2346738","RPAP2",0.167600000000002,7.9834,1.90362041664983,0.0626086462141318,0.120032415596058,-5.21910651257514
"3222170","TNC",0.493600000000001,8.8576,1.90327461737935,0.0626547429785216,0.120108720435964,-5.21972752725734
"2324884","C1QB",0.375999999999998,9.3656,1.90315901245789,0.0626701601333399,0.120114900222551,-5.21993511825741
"3483159","PAN3",-0.2052,8.867,-1.90315601464929,0.0626705599661906,0.120114900222551,-5.21994050125738
"3761164","SKAP1",0.386399999999999,6.1384,1.90246201452331,0.062763180726702,0.120278670492349,-5.2211864814232
"3555300","CCNB1IP1",-0.165199999999999,7.043,-1.90242129750301,0.0627686184080169,0.120278670492349,-5.22125957091251
"3218528","ABCA1",-0.305600000000002,8.2408,-1.90219508161809,0.0627988364169615,0.120324488096621,-5.22166561729019
"3204534","STOML2",0.276399999999997,9.1326,1.90178124134429,0.0628541494162251,0.120406281809993,-5.2224083319431
"2591988","MSTN",-0.1652,3.7214,-1.90163995396279,0.0628730430763901,0.120414038294278,-5.22266186681483
"3197498","RLN2",0.1964,2.5822,1.90162371311602,0.0628752151939457,0.120414038294278,-5.22269100935536
"3868768","KLK6",-0.567599999999997,7.1466,-1.90160935598133,0.062877135429299,0.120414038294278,-5.22271677158739
"3558226","RIPK3",0.252000000000001,6.6936,1.90128872804151,0.0629200317211935,0.120484092061181,-5.22329205775621
"3439356","ZNF140",0.216799999999999,7.1692,1.90116470950858,0.0629366306386763,0.120501598445602,-5.22351455526734
"3868876","KLK13",0.1892,6.4194,1.90085915001251,0.0629775433081699,0.120552786495421,-5.2240626956982
"3011180","GRM3",-0.114,4.841,-1.90083196574978,0.0629811842217113,0.120552786495421,-5.22411145760438
"2532480","EFHD1",0.426,11.4342,1.90055296148825,0.0630185629034274,0.120604618808858,-5.22461188795476
"3396144","MSANTD2",-0.192,7.704,-1.90053546205151,0.0630209079621881,0.120604618808858,-5.22464327334403
"2470165","TRIB2",-0.248799999999997,7.8988,-1.90035885450393,0.0630445788853418,0.120637815911002,-5.22496000647208
"2746024","ABCE1",0.261199999999999,8.2734,1.90001636573944,0.0630905046327436,0.120705502771929,-5.22557416311718
"2506903","MGAT5",0.1564,7.401,1.90000069369854,0.0630926068430964,0.120705502771929,-5.22560226419069
"3816509","GADD45B",0.260399999999999,8.4878,1.89986917653361,0.0631102505923831,0.120727150050171,-5.22583807581727
"3783788","MEP1B",-0.0691999999999986,3.7278,-1.89946579237645,0.0631643929805881,0.120796544848431,-5.22656125951173
"3571634","FAM161B",-0.1336,7.0876,-1.89945736930665,0.0631655239496275,0.120796544848431,-5.22657635890123
"2529782","MRPL44",0.1616,6.7176,1.89829089364222,0.0633223136249684,0.121084247665387,-5.2286668495719
"2905118","SRSF3",-0.2432,8.928,-1.89798082227416,0.0633640469584244,0.121151905360219,-5.22922235438208
"3873057","DEFB125",-0.1904,5.1372,-1.89753339188845,0.063424309050677,0.121243458645384,-5.23002380450611
"3318115","OR52K2",0.1252,4.4874,1.89753091965198,0.0634246421588534,0.121243458645384,-5.23002823239182
"2514216","NOSTRIN",-0.519599999999998,8.0114,-1.89673769891384,0.0635315972816392,0.12143574646739,-5.23144866783288
"2767710","KCTD8",-0.0968000000000018,6.9652,-1.89637286878205,0.0635808411896022,0.12151769627621,-5.23210180318974
"2913277","KCNQ5",0.17,5.7138,1.89614840491677,0.0636111549195666,0.121539101687265,-5.23250359439107
"3903052","SNTA1",-0.163600000000001,7.2882,-1.89596894881651,0.0636353992153136,0.121573247414254,-5.23282479184921
"3741997","ANKFY1",-0.1464,8.502,-1.8953398079818,0.0637204574383631,0.121711369389628,-5.23395064418575
"3812426","RTTN",0.168399999999999,7.0142,1.89523806579783,0.0637342217981038,0.121722778167172,-5.23413268216334
"2359764","SNAPIN",0.222800000000001,8.001,1.89520133033715,0.0637391922369406,0.121722778167172,-5.23419840747841
"3784344","MAPRE2",-0.2148,8.5342,-1.89510674424602,0.0637519915894493,0.121735034190224,-5.23436763126741
"2489385","TLX2",-0.0900000000000007,7.815,-1.89498499402558,0.0637684699984946,0.121754312250153,-5.23458544356405
"2453881","IRF6",0.374400000000001,8.4688,1.89411306306462,0.0638865882771951,0.121955424594794,-5.23614498158619
"3092276","LEPROTL1",0.210400000000002,8.8332,1.89399585457213,0.0639024803901898,0.121973555725762,-5.23635457353701
